reservation_id,booking_lead_time_hours,hour_of_day,day_of_week,is_weekend,is_prime_time,month_of_year,days_until_reservation,is_repeat_customer,customer_visit_count,customer_no_show_rate,customer_avg_party_size,days_since_last_visit,customer_lifetime_value,party_size,party_size_category,is_large_party,has_special_requests,confirmation_sent,confirmation_clicked,hours_since_confirmation_sent,historical_no_show_rate_for_day,historical_no_show_rate_for_time,occupancy_rate_for_slot,no_show
RES-20250921-5987,7,13,1,0,0,2,0,0,0,0.15,4.1,999,0,4,1,0,0,1,0,12,0.12,0.14,0.61,0
RES-20250612-5132,266,11,5,1,0,3,11,1,8,0.039,2.8,180,1805.71,6,2,1,0,0,0,0,0.16,0.14,0.64,0
RES-20251007-7911,740,12,4,0,0,4,30,0,0,0.15,3.8,999,0,1,0,0,0,1,1,587,0.14,0.14,0.66,0
RES-20250706-7261,152,21,1,0,1,1,6,0,0,0.15,2.3,999,0,3,1,0,0,1,0,120,0.12,0.22,0.82,0
RES-20250629-2192,801,12,5,1,0,12,33,0,0,0.15,4.1,999,0,2,0,0,0,1,0,246,0.16,0.14,0.65,0
RES-20250718-9828,448,21,4,0,1,5,18,0,0,0.15,2.2,999,0,2,0,0,0,1,0,191,0.14,0.22,0.91,0
RES-20250716-8681,500,19,3,0,1,8,20,1,1,0.042,2.1,64,1657.05,4,1,0,0,1,1,74,0.12,0.12,0.83,0
RES-20250502-7502,611,21,0,1,1,9,25,0,0,0.15,4.3,999,0,2,0,0,0,1,1,532,0.18,0.22,0.83,1
RES-20250520-5946,1221,11,3,0,0,5,50,0,0,0.15,4.2,999,0,8,2,1,0,1,1,669,0.12,0.14,0.65,0
RES-20250827-3195,1170,21,4,0,1,6,48,0,0,0.15,2.6,999,0,2,0,0,1,1,0,685,0.14,0.22,0.94,1
RES-20250911-5136,461,11,5,1,0,10,19,1,12,0.095,3.1,95,668,5,2,0,1,1,1,282,0.16,0.14,0.58,0
RES-20250508-1546,319,19,1,0,1,2,13,0,0,0.15,4.5,999,0,2,0,0,0,1,1,108,0.12,0.12,0.82,0
